OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	TemporalEnrichment	VC	VC.Status	ClstrComp	Order	Family	Genus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus
biochar_2110	81.9408880395573	-23.7197944687711	3.13253851729763	-7.57206793716733	3.67329262953679e-14	1.93338071141812e-13	Aug		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2111	343.356113025337	11.679297440606	1.81134486428811	6.44785963781455	1.13440748471306e-10	4.58412204888148e-10	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2112	363.349777258859	5.13619930216158	1.96636891402339	2.61202222305905	0.0090008403072859	0.0166611299305079	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2115	484.554733101748	6.81693260961794	1.86416513464349	3.65682872344978	0.000255354879972931	0.000582374506522691	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2121	605.742700298837	-12.5792200123971	1.04304935974985	-12.0600428875331	1.71693484262432e-33	6.77159101931031e-32	Aug		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2123	355.532216582001	-11.8780837403441	1.89685528656191	-6.26198731368347	3.8010186934082e-10	1.48329990700547e-09	Aug		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2129	598.91175990604	13.6190817470399	1.61917426536936	8.4111278435698	4.06086812453008e-17	3.22464307866317e-16	Apr	388_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2133	71.4494097949002	23.8576014557448	3.14469434850746	7.58662013275413	3.28357913614818e-14	1.73753615111383e-13	Apr	222_0	Clustered	both	Caudovirales	Myoviridae	Unassigned	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mixed
biochar_2134	434.038084797076	7.99179470840342	1.50700535488084	5.30309642399069	1.13854743132159e-07	3.775586661266e-07	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2135	4920.64510356098	-3.60288465020979	0.885609981307807	-4.06825208190325	4.73671222765271e-05	0.000117840157858677	Aug	281_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2141	203.741850768664	12.4827657619753	3.07330226987781	4.06167850273693	4.87211435980007e-05	0.000121005157651458	Apr	303_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2145	112.293505826369	-25.3659548069397	3.1446960942147	-8.06626587974764	7.24808731283391e-16	4.68118826885649e-15	Aug		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2150	190.550036952989	11.5623706898929	3.02843931629892	3.81793045271363	0.000134575848045787	0.000317697812066591	Apr	609_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2158	45.070762971311	-23.5016389095655	3.15362236246141	-7.45226796629591	9.1749130892065e-14	4.55358941575047e-13	Aug	507_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2164	500.325031788533	4.18979199782279	1.32544965775741	3.16103442579003	0.00157209916911439	0.00323159787508016	Apr	526_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2167	104.406670593651	-9.40299272649649	3.13470186594176	-2.99964498335843	0.00270294449939563	0.00536238083783519	Aug		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2171	327.579553316837	-13.5651711191375	2.15459474007253	-6.2959269633606	3.05568233193474e-10	1.19717991229973e-09	Aug		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2176	2129.49797567648	1.0311211543471	0.436852407720295	2.36034215704106	0.0182580863405346	0.0324563818481379	Apr	79_0	Clustered	both	Caudovirales	Podoviridae	Unassigned	Proteobacteria	Gammaproteobacteria	Mixed	Mixed	Mixed
