OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	SpatialEnrichment	TemporalEnrichment	VC	VC.Status	ClstrComp	Order	Family	Genus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus
biochar_129	425.717094907454	-13.2571384770665	1.57677955903291	-8.40773106241782	4.1801828968348e-17	8.18872914492539e-16	West-Enriched	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1295	177.168115229512	-9.45014309763567	1.57231798518121	-6.01032563813519	1.85151046362321e-09	1.44505750696503e-08	West-Enriched	Apr	200_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1303	5331.96595891697	-0.866895480598542	0.231358968351147	-3.7469715860887	0.00017898235107523	0.000695702752274023	West-Enriched	NS		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1304	128.64323563276	6.0300094079801	1.56624182369694	3.84998620056445	0.000118124479836034	0.000470376319982205	East-Enriched	NS		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1305	623.822333087043	-2.12193133647896	0.830303706278022	-2.55560865311668	0.010600226136498	0.0318653139347165	West-Enriched	NS	127_0	Clustered	both	Caudovirales	Podoviridae	Unassigned	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus
biochar_1306	276.591574145004	-18.3281302990802	1.56220735579483	-11.7322007421704	8.71625435144568e-32	4.95820776376468e-30	West-Enriched	Apr	461_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_131	2506.29778149742	6.55736445909851	1.56730486752159	4.18384744090523	2.86616493101423e-05	0.000150588203657906	East-Enriched	Aug	174_0	Clustered	both	Caudovirales	Siphoviridae	Unassigned	Firmicutes	Mixed	Mixed	Mixed	Mixed
biochar_1318	660.255871214692	-5.77453052382054	0.768142758489022	-7.51752256986625	5.58239242199738e-14	7.47181754944265e-13	West-Enriched	NS	353_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1319	691.940054478478	5.02274021736438	1.35212760671884	3.7146939330326	0.000203449790988807	0.000785645537525967	East-Enriched	Aug	97_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1320	1567.0402313316	7.61137751473536	1.52556411915743	4.98922163883819	6.06230605851848e-07	3.97612002685092e-06	East-Enriched	Aug		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1322	788.186171970035	7.00157336936829	1.39469895215682	5.02013237949363	5.16358820566797e-07	3.40935131972452e-06	East-Enriched	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1336	116.559048057786	-12.6507830242799	1.57678036101474	-8.02317389096502	1.03047312501616e-15	1.68405497447392e-14	West-Enriched	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1338	122.495851096641	-16.4887815253429	1.56899753727578	-10.5091188058663	7.84228686333101e-26	3.05230059759646e-24	West-Enriched	Apr	695_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
