,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Genera,Families,Orders,Members
212,VC_27_0,4,1800.0,1668.037678080687,0.5190255029167308,1.4288306378020557e-05,3.3166247903554,4.898979485566356,6,6,1.0,3.9894632641187413,2,1,1,"Mycobacterium~phage~Catdawg,Mycobacterium~phage~Dylan,Mycobacterium~virus~Corndog,Mycobacterium~virus~Firecracker"
213,VC_280_0,2,30.044611440327223,20.818874725292474,0.590691155979697,0.27014568730370997,3.7416573867739413,3.7416573867739413,1,1,1.0,3.7416573867739413,1,1,1,"biochar_1229,biochar_3832"
214,VC_281_0,2,3.8814235984863834,62.84504658220105,0.05816917316285344,0.20339205706549757,4.795831523312719,4.795831523312719,1,1,1.0,4.795831523312719,1,1,1,"biochar_2135,biochar_3901"
215,VC_282_0,2,14.997755709005586,32.954949910345334,0.31276140762646276,0.08762212270000297,2.8284271247461903,2.8284271247461903,1,1,1.0,2.8284271247461903,1,1,1,"biochar_3483,biochar_4559"
216,VC_283_0,15,649.5536556300334,124.26931534014616,0.8394085986044797,7.999952264311162e-09,2.23606797749979,6.0,105,105,1.0,4.261001519493642,1,1,1,"biochar_1035,biochar_1075,biochar_1110,biochar_1171,biochar_1384,biochar_1993,biochar_2238,biochar_2773,biochar_4321,biochar_5304,biochar_534,biochar_5350,biochar_5788,biochar_5996,biochar_646"
217,VC_284_0,2,12.124951747634528,119.13885663531227,0.09237086670730596,0.07264544277720981,8.48528137423857,8.48528137423857,1,1,1.0,8.48528137423857,1,1,1,"biochar_105,biochar_38"
218,VC_285_0,3,160.26058221456844,275.16001211227416,0.3680592610974919,0.0026075363798999506,4.58257569495584,6.244997998398398,3,3,1.0,5.373025438494473,1,1,1,"biochar_1212,biochar_2092,biochar_2409"
219,VC_286_0,2,48.14677461363949,63.936736706724204,0.4295616192467734,0.08762212270000297,2.0,2.0,1,1,1.0,2.0,1,1,1,"biochar_4172,biochar_5019"
220,VC_287_0,2,51.32197770482489,162.56342664492777,0.2399508178730207,0.05331159898779313,2.23606797749979,2.23606797749979,1,1,1.0,2.23606797749979,1,1,1,"biochar_2789,biochar_3068"
221,VC_288_0,11,6335.071752070418,2092.8378743965272,0.751677703350758,1.9682698912562393e-18,1.0,7.0,55,55,1.0,4.763712134071012,2,2,2,"Sulfolobus~islandicus~rod-shaped~virus~1,Sulfolobus~islandicus~rod-shaped~virus~10,Sulfolobus~islandicus~rod-shaped~virus~11,Sulfolobus~islandicus~rod-shaped~virus~2,Sulfolobus~islandicus~rod-shaped~virus~4,Sulfolobus~islandicus~rod-shaped~virus~5,Sulfolobus~islandicus~rod-shaped~virus~6,Sulfolobus~islandicus~rod-shaped~virus~7,Sulfolobus~islandicus~rod-shaped~virus~8,Sulfolobus~islandicus~rod-shaped~virus~9,Sulfolobus~islandicus~rudivirus~3"
222,VC_289_0,14,7439.22556091974,690.7450407464879,0.9150372031351601,2.1832571096080635e-09,1.7320508075688772,7.937253933193772,91,91,1.0,5.54579323650963,2,2,2,"Enterobacteria~phage~UAB_Phi78,Enterobacteria~phage~vB_EcoP_ACG-C91,Erwinia~amylovora~phage~Era103,Erwinia~phage~phiEa100,Escherichia~virus~K1-5,Escherichia~virus~K1E,Lelliottia~phage~phD2B,Pectobacterium~phage~PP1,Proteus~phage~PM~85,Proteus~phage~PM~93,Proteus~phage~vB_PmiP_Pm5460,Salmonella~phage~BP12B,Salmonella~virus~SP6,Vibrio~phage~phi-A318"
223,VC_28_0,2,300.0,4019.6985351924127,0.06944929086044128,0.045083521170729404,2.449489742783178,2.449489742783178,1,1,1.0,2.449489742783178,1,1,1,"Escherichia~Stx1~converting~phage,Escherichia~phage~Stx2~II"
224,VC_28_1,13,9484.73935534695,7420.110126512601,0.5610661819571326,5.600717215369461e-41,2.8284271247461903,9.38083151964686,78,71,0.9102564102564102,7.661088158250452,4,1,1,"Enterobacteria~phage~933W,Enterobacteria~phage~VT2-Sakai,Enterobacteria~phage~VT2phi_272,Escherichia~phage~Min27,Escherichia~phage~P13374,Escherichia~phage~PA2,Escherichia~phage~TL-2011c,Escherichia~phage~phi191,Escherichia~phage~vB_EcoP_24B,Shigella~phage~75/02~Stx,Shigella~phage~POCJ13,Shigella~phage~Ss-VASD,Stx2-converting~phage~86"
225,VC_290_0,5,114.3784025687863,120.75867661645687,0.4864328627586546,0.0021014904605746398,4.123105625617661,6.782329983125268,10,10,1.0,5.598199312611179,1,1,1,"biochar_2064,biochar_3581,biochar_390,biochar_4539,biochar_485"
226,VC_291_0,5,1840.6478553134327,2000.6840948262895,0.47916917340259596,2.1890333937905963e-07,1.4142135623730951,7.874007874011811,10,10,1.0,5.910179402305846,2,3,2,"Gordonia~phage~GMA3,Gordonia~phage~Gmala1,Gordonia~phage~GordDuk1,Gordonia~phage~GordTnk2,Gordonia~phage~Jumbo"
227,VC_292_0,3,32.12171628369454,23.087862190306854,0.581814191876522,0.004310292894273299,4.795831523312719,5.656854249492381,3,3,1.0,5.216279398503911,1,1,1,"biochar_4784,biochar_4915,biochar_5187"
228,VC_293_0,2,73.99831089775985,39.05311915383226,0.6545543993914097,0.08762212270000297,4.0,4.0,1,1,1.0,4.0,1,1,1,"Synechococcus~phage~S-CBS1,Synechococcus~phage~S-CBS3"
229,VC_294_0,3,430.4919577601947,754.0720813766467,0.36341805384695125,0.0021610150715413246,3.3166247903554,6.082762530298219,3,3,1.0,4.958870965235094,1,1,1,"biochar_528,biochar_594,biochar_607"
230,VC_295_0,9,2525.341431972416,1493.2818412504787,0.6284095970874917,1.926928650078462e-17,0.0,8.94427190999916,36,36,1.0,6.215657468427333,3,2,2,"Arthrobacter~phage~Mudcat,Rhodococcus~phage~ReqiPepy6,Rhodococcus~phage~ReqiPoco6,biochar_606,biochar_611,biochar_716,biochar_728,biochar_832,biochar_991"
231,VC_297_0,3,369.8178570103229,323.59276547144964,0.5333316869111623,0.0023362589310594404,3.605551275463989,5.0990195135927845,3,3,1.0,4.429048828004205,1,2,2,"Lactobacillus~phage~KC5a,Lactobacillus~phage~phi~jlb1,Lactobacillus~prophage~Lj771"
232,VC_298_0,2,24.073510669574876,96.3929169307471,0.19983584762258305,0.05329003192368229,6.164414002968976,6.164414002968976,1,1,1.0,6.164414002968976,1,1,1,"biochar_1023,biochar_186"
233,VC_299_0,6,4106.647376481035,691.4741211839478,0.8558864919280483,1.6999849476287808e-09,4.242640687119285,7.681145747868608,15,15,1.0,6.175268499242798,1,1,1,"Escherichia~phage~172-1,Escherichia~phage~ECBP2,Escherichia~phage~KBNP1711,Escherichia~phage~NJ01,Escherichia~phage~vB_EcoP_SU10,Escherichia~virus~phiEco32"
234,VC_29_0,3,900.0,19724.853059020235,0.043636674521973715,0.0015245287173277309,5.291502622129181,7.3484692283495345,3,3,1.0,6.424407143729838,1,1,1,"Prochlorococcus~phage~MED4-213,Prochlorococcus~phage~P-HM1,Prochlorococcus~phage~P-HM2"
