pos_module,pos_cluster,sig,id_module,size_module,pos_module,proteins,annotated_proteins,id_cluster,size_cluster,pos_cluster,pos_genus,precision_genus,pos_family,precision_family,pos_order,precision_order
604,44,45.98737203219017,MD_0604,3,604,195.0,200.0,CC_0044,37,44,,0.0,,0.0,,0.0
610,123,14.648235415519865,MD_0610,3,610,135.0,142.0,CC_0123,10,123,,0.0,,0.0,,0.0
610,145,2.893880411525073,MD_0610,3,610,135.0,142.0,CC_0145,7,145,,0.0,,0.0,,0.0
610,166,4.209886432925849,MD_0610,3,610,135.0,142.0,CC_0166,5,166,,0.0,,0.0,,0.0
612,29,4.362838428532919,MD_0612,3,612,42.0,42.0,CC_0029,50,29,,0.0,12.0,0.9743589743589743,0.0,1.0
619,15,15.451682966797682,MD_0619,3,619,17.0,20.0,CC_0015,8,15,153.0,1.0,12.0,1.0,0.0,1.0
624,99,1.6470450942744286,MD_0624,3,624,34.0,63.0,CC_0099,5,99,,0.0,,0.0,,0.0
624,145,1.1035963204674575,MD_0624,3,624,34.0,63.0,CC_0145,7,145,,0.0,,0.0,,0.0
628,23,8.116723336156554,MD_0628,3,628,57.0,63.0,CC_0023,6,23,,0.0,12.0,1.0,0.0,1.0
628,158,5.717874329087918,MD_0628,3,628,57.0,63.0,CC_0158,5,158,,0.0,,0.0,,0.0
634,27,7.513787358821034,MD_0634,3,634,13.0,13.0,CC_0027,4,27,60.0,1.0,17.0,1.0,0.0,1.0
639,24,4.253715970835962,MD_0639,3,639,15.0,15.0,CC_0024,16,24,66.0,0.38461538461538464,12.0,1.0,0.0,1.0
647,4,2.3154327340870715,MD_0647,3,647,10.0,10.0,CC_0004,10,4,207.0,1.0,12.0,1.0,0.0,1.0
666,444,19.172586137615887,MD_0666,3,666,20.0,20.0,CC_0444,8,444,7.0,0.5,11.0,1.0,,0.0
667,25,10.535968198233215,MD_0667,3,667,18.0,18.0,CC_0025,5,25,64.0,0.6,12.0,1.0,0.0,1.0
674,25,3.3946139801346966,MD_0674,3,674,9.0,9.0,CC_0025,5,25,64.0,0.6,12.0,1.0,0.0,1.0
681,462,6.814817354485342,MD_0681,3,681,14.0,14.0,CC_0462,4,462,,0.0,,0.0,,0.0
699,102,4.394613980134698,MD_0699,3,699,10.0,10.0,CC_0102,3,102,225.0,1.0,15.0,1.0,0.0,1.0
712,587,4.394613980134698,MD_0712,3,712,10.0,10.0,CC_0587,3,587,,0.0,,0.0,,0.0
714,724,4.394613980134698,MD_0714,3,714,10.0,10.0,CC_0724,3,724,,0.0,,0.0,,0.0
721,130,2.850545935784421,MD_0721,3,721,10.0,10.0,CC_0130,7,130,106.0,1.0,12.0,1.0,0.0,1.0
722,25,3.3946139801346966,MD_0722,3,722,10.0,10.0,CC_0025,5,25,64.0,0.6,12.0,1.0,0.0,1.0
723,626,3.792553988806736,MD_0723,3,723,9.0,9.0,CC_0626,4,626,249.0,1.0,15.0,0.75,0.0,1.0
738,174,4.394613980134698,MD_0738,3,738,9.0,9.0,CC_0174,3,174,,0.0,17.0,1.0,0.0,1.0
746,455,1.1504193542495598,MD_0746,3,746,7.0,9.0,CC_0455,2,455,,0.0,,0.0,,0.0
747,645,4.394613980134698,MD_0747,3,747,9.0,9.0,CC_0645,3,645,,0.0,,0.0,,0.0
753,362,4.394613980134698,MD_0753,3,753,9.0,9.0,CC_0362,3,362,,0.0,,0.0,,0.0
756,4,2.3154327340870715,MD_0756,3,756,9.0,9.0,CC_0004,10,4,207.0,1.0,12.0,1.0,0.0,1.0
758,11,3.792553988806736,MD_0758,3,758,9.0,9.0,CC_0011,4,11,80.0,1.0,12.0,1.0,0.0,1.0
761,257,2.3154327340870715,MD_0761,3,761,9.0,9.0,CC_0257,10,257,79.0,0.6666666666666666,12.0,1.0,0.0,1.0
762,425,4.394613980134698,MD_0762,3,762,9.0,9.0,CC_0425,3,425,,0.0,17.0,1.0,,0.0
763,4,2.3154327340870715,MD_0763,3,763,9.0,9.0,CC_0004,10,4,207.0,1.0,12.0,1.0,0.0,1.0
764,4,9.630930574714032,MD_0764,2,764,79.0,88.0,CC_0004,10,4,207.0,1.0,12.0,1.0,0.0,1.0
764,5,6.892561635558215,MD_0764,2,764,79.0,88.0,CC_0005,7,5,209.0,0.8571428571428571,12.0,1.0,0.0,1.0
764,6,14.383140745810445,MD_0764,2,764,79.0,88.0,CC_0006,11,6,119.0,1.0,12.0,1.0,0.0,1.0
764,24,4.68851101982805,MD_0764,2,764,79.0,88.0,CC_0024,16,24,66.0,0.38461538461538464,12.0,1.0,0.0,1.0
764,161,1.3369725891019435,MD_0764,2,764,79.0,88.0,CC_0161,4,161,,0.0,12.0,1.0,0.0,1.0
764,278,21.97389464525228,MD_0764,2,764,79.0,88.0,CC_0278,15,278,235.0,1.0,17.0,1.0,0.0,1.0
765,7,10.643680444082312,MD_0765,2,765,14.0,16.0,CC_0007,62,7,234.0,0.34210526315789475,12.0,1.0,0.0,1.0
768,61,3.758365250484969,MD_0768,2,768,23.0,25.0,CC_0061,21,61,58.0,1.0,17.0,1.0,0.0,1.0
768,374,10.063396346857994,MD_0768,2,768,23.0,25.0,CC_0374,8,374,160.0,1.0,15.0,1.0,0.0,1.0
769,61,6.237954279886786,MD_0769,2,769,21.0,22.0,CC_0061,21,61,58.0,1.0,17.0,1.0,0.0,1.0
769,414,3.736723204077517,MD_0769,2,769,21.0,22.0,CC_0414,4,414,,0.0,,0.0,,0.0
770,12,3.489312450602421,MD_0770,2,770,69.0,90.0,CC_0012,9,12,,0.0,17.0,1.0,0.0,1.0
770,423,1.577021858847174,MD_0770,2,770,69.0,90.0,CC_0423,4,423,206.0,1.0,17.0,1.0,0.0,1.0
770,445,2.7115332193280697,MD_0770,2,770,69.0,90.0,CC_0445,6,445,43.0,1.0,17.0,1.0,0.0,1.0
771,466,1.232133916315954,MD_0771,2,771,14.0,15.0,CC_0466,4,466,,0.0,,0.0,,0.0
773,79,4.187338308253656,MD_0773,2,773,19.0,19.0,CC_0079,22,79,,0.0,15.0,1.0,0.0,1.0
774,22,7.7679529026530005,MD_0774,2,774,72.0,72.0,CC_0022,7,22,88.0,0.6666666666666666,17.0,1.0,0.0,1.0
774,49,11.76939744199902,MD_0774,2,774,72.0,72.0,CC_0049,9,49,128.0,1.0,17.0,1.0,0.0,1.0
774,115,1.1304358430769579,MD_0774,2,774,72.0,72.0,CC_0115,5,115,151.0,0.6,17.0,1.0,0.0,1.0
775,218,9.20360892200969,MD_0775,2,775,20.0,20.0,CC_0218,19,218,41.0,1.0,12.0,1.0,0.0,1.0
776,297,2.850545935783817,MD_0776,2,776,7.0,8.0,CC_0297,3,297,,0.0,12.0,1.0,0.0,1.0
778,113,1.1820905060286,MD_0778,2,778,18.0,18.0,CC_0113,13,113,,0.0,,0.0,,0.0
779,29,3.6903787190569926,MD_0779,2,779,19.0,19.0,CC_0029,50,29,,0.0,12.0,0.9743589743589743,0.0,1.0
779,65,5.15017227713226,MD_0779,2,779,19.0,19.0,CC_0065,7,65,,0.0,17.0,0.6,0.0,1.0
780,394,7.356760500837527,MD_0780,2,780,10.0,10.0,CC_0394,6,394,175.0,1.0,17.0,1.0,0.0,1.0
780,572,8.13456765745232,MD_0780,2,780,10.0,10.0,CC_0572,5,572,,0.0,12.0,1.0,0.0,1.0
781,158,3.4390996015204323,MD_0781,2,781,17.0,17.0,CC_0158,5,158,,0.0,,0.0,,0.0
782,21,17.450016834978463,MD_0782,2,782,28.0,29.0,CC_0021,14,21,105.0,0.8888888888888888,17.0,1.0,0.0,1.0
782,63,1.5001977065565857,MD_0782,2,782,28.0,29.0,CC_0063,19,63,242.0,1.0,17.0,1.0,0.0,1.0
783,92,1.20709325929547,MD_0783,2,783,22.0,22.0,CC_0092,3,92,142.0,1.0,12.0,1.0,0.0,1.0
783,158,6.11545136700347,MD_0783,2,783,22.0,22.0,CC_0158,5,158,,0.0,,0.0,,0.0
784,91,3.649573028361198,MD_0784,2,784,22.0,23.0,CC_0091,4,91,,0.0,,0.0,,0.0
784,428,6.11545136700347,MD_0784,2,784,22.0,23.0,CC_0428,5,428,256.0,1.0,15.0,1.0,0.0,1.0
785,217,2.47033469407339,MD_0785,2,785,9.0,9.0,CC_0217,3,217,,0.0,,0.0,,0.0
