contig	Length	B0H_BULK_S142_L006.vir.sortedIndexed.bam	B0H_BULK_S59_L006.vir.sortedIndexed.bam	B0H_VFD_S134_L006.vir.sortedIndexed.bam	B0H_VFD_S52_L006.vir.sortedIndexed.bam	B0L_BULK_S141_L006.vir.sortedIndexed.bam	B0L_BULK_S58_L006.vir.sortedIndexed.bam	B0L_VFD_S133_L006.vir.sortedIndexed.bam	B0L_VFD_S51_L006.vir.sortedIndexed.bam	B2R2H_BULK_S144_L006.vir.sortedIndexed.bam	B2R2H_BULK_S61_L006.vir.sortedIndexed.bam	B2R2H_VFD_S136_L006.vir.sortedIndexed.bam	B2R2H_VFD_S54_L006.vir.sortedIndexed.bam	B2R2L_BULK_S143_L006.vir.sortedIndexed.bam	B2R2L_BULK_S60_L006.vir.sortedIndexed.bam	B2R2L_VFD_S135_L006.vir.sortedIndexed.bam	B2R2L_VFD_S53_L006.vir.sortedIndexed.bam	B3R2H_BULK_S146_L006.vir.sortedIndexed.bam	B3R2H_BULK_S65_L006.vir.sortedIndexed.bam	B3R2H_VFD_S138_L006.vir.sortedIndexed.bam	B3R2H_VFD_S55_L006.vir.sortedIndexed.bam	B3R2L_BULK_S145_L006.vir.sortedIndexed.bam	B3R2L_BULK_S62_L006.vir.sortedIndexed.bam	B3R2L_VFD_S137_L006.vir.sortedIndexed.bam	B8R2H_BULK_S148_L006.vir.sortedIndexed.bam	B8R2H_BULK_S63_L006.vir.sortedIndexed.bam	B8R2H_VFD_S140_L006.vir.sortedIndexed.bam	B8R2H_VFD_S57_L006.vir.sortedIndexed.bam	B8R2L_BULK_S147_L006.vir.sortedIndexed.bam	B8R2L_BULK_S64_L006.vir.sortedIndexed.bam	B8R2L_VFD_S139_L006.vir.sortedIndexed.bam	B8R2L_VFD_S56_L006.vir.sortedIndexed.bam
biochar_1353	30061	0.0000	0.0000	0.0509	0.7155	0.0000	0.0000	0.0000	1.0418	0.0000	0.0000	0.0405	30.0305	0.0000	0.0000	0.0000	1.5885	0.0000	0.0000	0.4386	2.3687	0.0000	0.0000	0.1725	0.0000	0.0000	0.0000	12.0639	0.0000	0.2277	0.0767	4.7445
biochar_1354	30054	0.0000	0.0000	0.0000	0.0627	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0319	0.0000	0.0000	0.0000	0.0268	0.0000	0.0000	0.0000	0.0415	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0648	0.0000	0.0000	0.0000	0.0812
biochar_1355	29952	0.0000	0.0000	6.2061	5.9568	0.0000	0.0000	2.8434	7.8471	0.0000	0.0000	0.7115	9.0560	0.0000	0.0000	4.5721	3.9909	0.0000	0.0000	7.3249	5.2067	0.0000	0.0000	5.8532	0.0000	0.0000	3.1450	5.4000	0.0000	0.0000	8.0695	10.5982
biochar_1358	29934	0.0000	0.0000	8.1617	26.0487	0.0000	0.0000	0.0408	0.2947	0.0000	0.0000	0.0000	0.0331	0.0000	0.0000	8.3602	21.5883	0.0000	0.0000	0.2154	0.0000	0.0000	0.0000	0.0425	0.0000	0.0000	0.2546	0.6997	0.0000	0.0000	0.1783	0.0000
biochar_1359	29933	0.0000	0.0000	0.5870	0.1025	0.0000	0.0000	1.8917	1.6644	0.0000	0.0000	0.0350	0.0733	0.0000	0.0000	1.3925	0.7552	0.0000	0.0000	9.5799	5.9182	0.0000	0.0000	1.4811	0.0000	0.0000	3.1697	4.8429	0.0000	0.0000	0.3130	0.0901
biochar_1360	29928	0.0000	0.0000	2.6087	8.7368	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0571	4.0627	0.0000	0.0000	0.0207	0.0351	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9469	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0738	2.6628
biochar_1361	29889	0.0000	0.0843	0.4848	3.4535	0.0000	0.0000	0.5784	7.7089	0.0000	0.0000	0.0637	3.9470	0.0000	0.0000	0.3027	1.7741	0.0000	0.0000	1.0931	1.5730	0.0000	0.0000	0.2412	0.0000	0.0000	0.1120	3.4015	0.0000	0.0000	0.0000	1.3536
biochar_1363	29826	0.0000	0.0000	0.7447	8.4019	0.0000	0.0000	0.1333	5.5237	0.0000	0.0000	0.0000	5.1191	0.0000	0.0000	0.0000	4.0813	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0858	0.0000	0.0000	0.0000	0.3093	0.0000	0.0000	0.0000	0.0000
biochar_1364	29816	0.0000	0.0000	6.6613	7.1701	0.0000	0.0000	10.4659	0.3511	0.0474	0.0000	0.2188	3.7338	0.0000	0.0000	5.7680	3.6037	0.0000	0.0000	3.6305	18.6854	0.0000	0.0000	2.1862	0.0000	0.0007	1.0214	2.6052	0.0000	0.0000	10.0540	0.3841
biochar_1365	29781	0.0000	0.0000	0.0194	0.0182	0.0000	0.0000	0.5404	1.9945	0.0000	0.0000	0.0710	1.0899	0.0000	0.0000	0.0194	0.2749	0.0000	0.0000	1.9620	7.1226	0.0000	0.0000	0.1866	0.0000	0.2369	0.6454	4.5809	0.0000	0.0000	0.0011	0.2849
biochar_1366	29759	0.0000	0.0000	7.5903	0.0000	0.0000	0.0000	2.6040	0.0000	0.0000	0.0000	1.5975	0.0000	0.0082	0.0000	9.6490	0.1292	0.0000	0.0000	14.4939	0.0000	0.0000	0.0000	9.9599	0.0000	0.0000	3.9071	0.0000	0.0000	0.0000	4.1492	0.1034
