contig	Length	B0H_BULK_S142_L006.vir.sortedIndexed.bam	B0H_BULK_S59_L006.vir.sortedIndexed.bam	B0H_VFD_S134_L006.vir.sortedIndexed.bam	B0H_VFD_S52_L006.vir.sortedIndexed.bam	B0L_BULK_S141_L006.vir.sortedIndexed.bam	B0L_BULK_S58_L006.vir.sortedIndexed.bam	B0L_VFD_S133_L006.vir.sortedIndexed.bam	B0L_VFD_S51_L006.vir.sortedIndexed.bam	B2R2H_BULK_S144_L006.vir.sortedIndexed.bam	B2R2H_BULK_S61_L006.vir.sortedIndexed.bam	B2R2H_VFD_S136_L006.vir.sortedIndexed.bam	B2R2H_VFD_S54_L006.vir.sortedIndexed.bam	B2R2L_BULK_S143_L006.vir.sortedIndexed.bam	B2R2L_BULK_S60_L006.vir.sortedIndexed.bam	B2R2L_VFD_S135_L006.vir.sortedIndexed.bam	B2R2L_VFD_S53_L006.vir.sortedIndexed.bam	B3R2H_BULK_S146_L006.vir.sortedIndexed.bam	B3R2H_BULK_S65_L006.vir.sortedIndexed.bam	B3R2H_VFD_S138_L006.vir.sortedIndexed.bam	B3R2H_VFD_S55_L006.vir.sortedIndexed.bam	B3R2L_BULK_S145_L006.vir.sortedIndexed.bam	B3R2L_BULK_S62_L006.vir.sortedIndexed.bam	B3R2L_VFD_S137_L006.vir.sortedIndexed.bam	B8R2H_BULK_S148_L006.vir.sortedIndexed.bam	B8R2H_BULK_S63_L006.vir.sortedIndexed.bam	B8R2H_VFD_S140_L006.vir.sortedIndexed.bam	B8R2H_VFD_S57_L006.vir.sortedIndexed.bam	B8R2L_BULK_S147_L006.vir.sortedIndexed.bam	B8R2L_BULK_S64_L006.vir.sortedIndexed.bam	B8R2L_VFD_S139_L006.vir.sortedIndexed.bam	B8R2L_VFD_S56_L006.vir.sortedIndexed.bam
biochar_1951	22417	4.0000	0.0000	552.0000	36.0000	2.0000	0.0000	589.0000	43.0000	4.0000	0.0000	95.0000	70.0000	2.0000	0.0000	342.0000	58.0000	2.0000	0.0000	331.0000	33.0000	12.0000	0.0000	642.0000	4.0000	0.0000	527.0000	95.0000	6.0000	0.0000	910.0000	155.0000
biochar_1953	22416	0.0000	0.0000	84.0000	185.0000	0.0000	0.0000	20.0000	106.0000	0.0000	0.0000	24.0000	259.0000	2.0000	0.0000	77.0000	209.0000	0.0000	0.0000	125.0000	134.0000	0.0000	2.0000	104.0000	2.0000	4.0000	45.0000	94.0000	0.0000	8.0000	162.0000	182.0000
biochar_1954	22406	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	359.0000	28.0000	0.0000	4.0000	6.0000	12.0000	28.0000	8.0000	1060.0000	210.0000	2.0000	0.0000	1456.0000	466.0000	2.0000	0.0000	534.0000	10.0000	0.0000	232.0000	46.0000	0.0000	0.0000	374.0000	196.0000
biochar_1956	22396	0.0000	0.0000	163.0000	109.0000	5.0000	0.0000	283.0000	313.0000	0.0000	0.0000	6.0000	112.0000	2.0000	2.0000	435.0000	258.0000	14.0000	8.0000	1851.0000	613.0000	4.0000	3.0000	374.0000	33.0000	2.0000	1392.0000	2361.0000	4.0000	0.0000	389.0000	340.0000
biochar_1957	22378	0.0000	2.0000	138.0000	58.0000	6.0000	0.0000	212.0000	16.0000	1.0000	0.0000	12.0000	39.0000	0.0000	0.0000	587.0000	77.0000	18.0000	0.0000	673.0000	84.0000	1.0000	0.0000	116.0000	2.0000	2.0000	165.0000	89.0000	2.0000	2.0000	210.0000	33.0000
biochar_1958	22376	0.0000	4.0000	39.0000	97.0000	0.0000	0.0000	10.0000	56.0000	0.0000	4.0000	1.0000	35.0000	2.0000	4.0000	31.0000	166.0000	0.0000	2.0000	53.0000	111.0000	0.0000	0.0000	23.0000	0.0000	0.0000	58.0000	113.0000	0.0000	0.0000	38.0000	54.0000
biochar_1960	22330	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.0000	2.0000
biochar_1961	22325	6.0000	2.0000	712.0000	538.0000	23.0000	12.0000	575.0000	708.0000	4.0000	0.0000	91.0000	372.0000	6.0000	3.0000	456.0000	732.0000	92.0000	6.0000	1323.0000	737.0000	8.0000	2.0000	1150.0000	12.0000	1.0000	779.0000	940.0000	0.0000	8.0000	833.0000	577.0000
biochar_1962	22324	2.0000	6.0000	207.0000	258.0000	2.0000	0.0000	80.0000	224.0000	0.0000	2.0000	40.0000	2856.0000	2.0000	0.0000	124.0000	154.0000	0.0000	0.0000	57.0000	54.0000	0.0000	6.0000	85.0000	4.0000	0.0000	58.0000	1959.0000	0.0000	0.0000	84.0000	43.0000
biochar_1965	22307	18.0000	0.0000	1602.0000	366.0000	14.0000	4.0000	852.0000	675.0000	6.0000	0.0000	236.0000	439.0000	14.0000	6.0000	1289.0000	393.0000	35.0000	8.0000	3919.0000	963.0000	41.0000	4.0000	1659.0000	40.0000	6.0000	1332.0000	1661.0000	14.0000	6.0000	1494.0000	1046.0000
biochar_1966	22298	6.0000	0.0000	836.0000	106.0000	3.0000	0.0000	483.0000	150.0000	0.0000	0.0000	140.0000	107.0000	2.0000	0.0000	373.0000	12.0000	6.0000	2.0000	480.0000	10.0000	8.0000	0.0000	993.0000	0.0000	0.0000	529.0000	42.0000	0.0000	0.0000	844.0000	20.0000
